REFWIDTH=4600 REFHEIGHT=96
A 4 67
B 76 126
C 137 195
D 209 264
E 278 328
F 342 387
G 398 461
H 476 528
I 546 554
J 567 603
K 620 676
L 684 725
M 736 800
N 816 868
O 882 946
P 960 1010
Q 1021 1083
R 1099 1156
S 1165 1218
T 1226 1280
U 1291 1343
V 1352 1415
W 1417 1509
X 1511 1573
Y 1576 1636
Z 1640 1694
a 1701 1745
b 1756 1798
c 1807 1849
d 1854 1896
e 1907 1952
f 1959 1987
g 1989 2030
h 2045 2083
i 2098 2106
j 2108 2126
k 2140 2180
l 2189 2197
m 2209 2277
n 2292 2330
o 2342 2386
p 2397 2439
q 2447 2489
r 2504 2529
s 2532 2572
t 2579 2602
u 2611 2649
v 2658 2702
w 2704 2771
x 2772 2817
y 2819 2864
z 2867 2909
0 2916 2960
1 2975 2999
2 3021 3065
3 3075 3119
4 3125 3172
5 3181 3225
6 3233 3277
7 3288 3331
8 3340 3383
9 3393 3437
! 3453 3461
" 3474 3499
£ 3505 3553
$ 3561 3605
% 3615 3688
* 3698 3730
( 3738 3760
) 3767 3789
- 3799 3824
= 3833 3877
+ 3889 3934
/ 3940 3966
? 3971 4015
@ 4024 4113
' 4121 4129
# 4140 4181
~ 4192 4239
. 4253 4261
, 4280 4288 
¬ 4292 4330
[ 4292 4296
^ 0 0


